,CITY,STABBR,SAT_AVG,INSTNM,ADM_RATE,MTHCMP1,TUITIONFEE_IN
3813,Shepherdstown,WV,1074.0,Shepherd University,0.8913,,7328.0
3814,Mount Gay,WV,,Southern West Virginia Community and Technical College,,,3724.0
3815,Buckhannon,WV,,Fred W Eberle Technical Center,,12.0,
3816,Lewisburg,WV,,West Virginia School of Osteopathic Medicine,,,
3817,Institute,WV,1007.0,West Virginia State University,0.9758,,7546.0
3818,Morgantown,WV,,West Virginia University Hospital Departments of Rad Tech and Nutrition,,24.0,
3819,West Liberty,WV,1024.0,West Liberty University,0.7176,,7380.0
3820,Beckley,WV,1165.0,West Virginia University Institute of Technology,0.5291,,6960.0
3821,Buckhannon,WV,1091.0,West Virginia Wesleyan College,0.7064,,30752.0
3822,Charleston,WV,,West Virginia Junior College-Charleston,,,12625.0
3823,Morgantown,WV,,West Virginia Junior College-Morgantown,,,13090.0
3824,Martinsburg,WV,,International Beauty School 4,,15.0,
3825,Wheeling,WV,,West Virginia Northern Community College,,,4036.0
3826,Morgantown,WV,1159.0,West Virginia University,0.7190000000000001,,8376.0
3827,Wheeling,WV,1063.0,Wheeling Jesuit University,0.514,,28110.0
3828,Parkersburg,WV,,Wood County School of Practical Nursing,0.8,12.0,
3829,Greenfield,WI,,VICI Beauty School,,13.0,
3830,Milwaukee,WI,,Alverno College,0.8941,,28277.0
3831,Madison,WI,,Madison Area Technical College,,,4341.0
3832,Green Bay,WI,1195.0,Bellin College,0.8889,,20500.0
3833,Beloit,WI,,Beloit College,0.5398,,48706.0
3834,Janesville,WI,,Blackhawk Technical College,,,4329.0
3835,Milwaukee,WI,1044.0,Cardinal Stritch University,0.7835,,28844.0
3836,Waukesha,WI,1163.0,Carroll University,0.7082,,31144.0
3837,Kenosha,WI,1179.0,Carthage College,0.6787,,41950.0
3838,Glendale,WI,,Columbia College of Nursing,,,
3839,Mequon,WI,1145.0,Concordia University-Wisconsin,0.6319,,28600.0
3840,Madison,WI,1145.0,Edgewood College,0.7111,,28500.0
3841,Appleton,WI,,Fox Valley Technical College,,,4497.0
3842,Kenosha,WI,,Gateway Technical College,,,4369.0
3843,Eau Claire,WI,,The Professional Hair Design Academy,,14.0,
3844,Plymouth,WI,1008.0,Lakeland University,0.5166,,27760.0
3845,Cleveland,WI,,Lakeshore Technical College,,,4184.0
3846,Appleton,WI,1343.0,Lawrence University,0.6135,,46101.0
3847,Watertown,WI,1132.0,Maranatha Baptist University,0.73,,14910.0
